Id,SIR
1.0,0.5
2.0,0.5051923076923076
3.0,0.586969696969697
4.0,0.4890322580645161
5.0,0.4946153846153845
6.0,0.5172093023255814
7.0,0.5303448275862068
8.0,0.5604761904761905
9.0,0.5735135135135134
10.0,0.6103921568627451
11.0,0.52275
12.0,0.5386666666666667
13.0,0.42176470588235293
14.0,0.5244444444444443
15.0,0.5196774193548387
16.0,0.4813793103448276
17.0,0.516578947368421
18.0,0.5185416666666667
19.0,0.5105714285714287
20.0,0.5666
21.0,0.5073913043478261
22.0,0.45756756756756767
23.0,0.5144444444444444
24.0,0.501025641025641
25.0,0.5318333333333334
26.0,0.5247368421052631
27.0,0.4601639344262296
28.0,0.4807272727272727
29.0,0.43787234042553197
30.0,0.5310526315789472
31.0,0.5733333333333333
32.0,0.5138709677419355
33.0,0.5050000000000001
34.0,0.4953968253968254
35.0,0.49492307692307685
36.0,0.5180701754385966
37.0,0.5033333333333333
38.0,0.5501694915254237
39.0,0.5119354838709678
40.0,0.526896551724138
41.0,0.5409333333333334
42.0,0.48483333333333334
43.0,0.5615254237288136
44.0,0.5458928571428572
45.0,0.5385714285714286
46.0,0.5172727272727273
47.0,0.4341304347826088
48.0,0.5427272727272727
49.0,0.5180882352941176
50.0,0.43261538461538457
51.0,0.5970769230769231
52.0,0.4496296296296296
53.0,0.49579999999999996
54.0,0.5187671232876712
55.0,0.47325301204819287
56.0,0.540875
57.0,0.4987878787878787
58.0,0.4941935483870968
59.0,0.5179310344827586
60.0,0.5841891891891893
61.0,0.46517241379310337
62.0,0.5631428571428572
63.0,0.49471698113207546
64.0,0.5034848484848484
65.0,0.5455696202531647
66.0,0.47205479452054794
67.0,0.5359154929577464
68.0,0.489041095890411
69.0,0.49111111111111116
70.0,0.49948051948051947
71.0,0.5485074626865671
72.0,0.5033333333333332
73.0,0.5038356164383562
74.0,0.4715217391304347
75.0,0.5151851851851852
76.0,0.5651351351351351
77.0,0.5363888888888888
78.0,0.5194594594594595
79.0,0.5862790697674417
80.0,0.48066666666666674
81.0,0.5287341772151898
82.0,0.5528985507246376
83.0,0.595
84.0,0.5365625
85.0,0.4559322033898305
86.0,0.5380952380952382
87.0,0.582906976744186
88.0,0.4210769230769231
89.0,0.5219230769230769
90.0,0.46402985074626873
91.0,0.5388059701492538
92.0,0.5290243902439024
93.0,0.541219512195122
94.0,0.5062921348314607
95.0,0.5277777777777777
96.0,0.497258064516129
97.0,0.4564788732394366
98.0,0.5727848101265823
99.0,0.5546478873239437
100.0,0.5530681818181818
